Predictor1,Predictor2,Predictor3,Predictor4,Predictor5,Predictor6,Predictor7,Predictor8,Predictor9,Predictor10,Target1,Target2
UY-I-WGD-QTF,BKNFI,Yze Cpbftcpo,A,R,AXM,YC,1,1,1,0,1
FW-I-WFI-FRI1,BKNDF,Yze Cpbftcpo,A,R,YMP,JA,1,1,1,0,0
NX-I-WJG-FRI5,BKNQH,Yze Cpbftcpo,A,R,YMP,RB,1,1,1,0,0
FY-I-FFR-FRI5,BKNDG,Yze Cpbftcpo,B,A,YMP,JC,7,1,3,1,0
ST-I-LFD-QTF,BKNFH,Yze Cpbftcpo,B,G,AXM,WX,2,1,2,1,0
XW-I-LFO-FRI2,BKNRG,Yze Cpbftcpo,B,G,YMP,BA,2,1,1,0,0
PF-I-DFK-FRI1,BKNFG,Spwo,D,Y,YMP,DY,4,1,8,0,0
LD-I-IKI-QTF,BKNFI,Spwo,C,D,AXM,PH,1,1,3,0,0
OT-I-VIF-FRI9,BKNQG,Spwo,B,Q,YMP,SX,2,1,1,0,0
GW-I-VFR-FRI10,BKNDF,Hltgpo,B,Q,YMP,KA,3,1,1,1,0
IJ-I-PHD-FRI2,BKNFH,Yze Cpbftcpo,A,K,YMP,MN,1,1,1,0,0
ZP-I-IHV-QTF,BKNFI,Spwo,B,D,AXM,DT,1,1,3,0,0
IA-I-LFI-QTF,BKNDG,Yze Cpbftcpo,D,G,AXM,RM,1,1,2,0,0
UN-I-XFH-FRI3,BKNDG,Hltgpo,B,S,YMP,YR,3,1,1,0,0
UP-I-LFP-QTF,BKNQH,Yze Cpbftcpo,C,G,AXM,YT,4,1,5,1,1
KW-I-VGE-QTF,BKNFI,Spwo,B,Q,AXM,OA,2,1,1,0,0
UN-I-VGS-FRI1,BKNDG,Hltgpo,C,Q,YMP,YR,10,3,4,0,0
WT-I-XFK-FRI1,BKNFG,Spwo,C,S,YMP,AX,2,1,6,0,1
XS-I-VFD-FRI3,BKNDG,Spwo,C,Q,YMP,BW,42,7,3,1,0
P8-I-VFQ-FRI2,BKNFF,Hltgpo,B,Q,YMP,T8,12,1,2,0,0
GX-I-VFK-FRI4,BKNQF,Hltgpo,D,Q,YMP,JO,4,1,4,1,0
YM-I-WFV-FRI4,BKNDG,Yze Cpbftcpo,A,R,YMP,CQ,1,1,1,0,0
ZP-I-VIJ-FRI6,BKNFI,Yze Spwo zc Hltgpo mfe Cpbftcpo,B,Q,YMP,DT,6,2,2,1,0
PX-I-VMK-FRI2,BKNDF,Spwo,C,Q,YMP,TB,9,4,7,0,0
LW-I-USL-RTI1,BKNFF,Yze Cpbftcpo,A,P,PAY,PA,2,1,1,0,0
YB-I-RFO-FRI1,BKNDH,Yze Cpbftcpo,A,M,YMP,CF,3,1,4,1,1
OF-I-VJA-FRI1,BKNDH,Hltgpo,C,Q,YMP,SJ,3,2,5,0,0
PX-I-VLS-FRI2,BKNDF,Spwo,B,Q,YMP,TB,1,1,1,0,0
NY-I-FFK-FRI1,BKNFI,Yze Cpbftcpo,B,A,YMP,RC,2,2,1,0,0
RT-I-HGS-FRI6,BKNQG,Yze Cpbftcpo,B,C,YMP,VX,1,1,2,1,0
UQ-I-XFO-FRI1,BKNFG,Hltgpo,B,S,YMP,YU,2,1,4,0,0
NX-I-FMG-QTF,BKNQH,Yze Cpbftcpo,C,A,AXM,RB,2,1,7,0,0
NX-I-WGR-RTI2,BKNQH,Yze Cpbftcpo,A,R,PAY,RB,2,1,3,0,0
YB-I-XFI-FRI1,BKNDH,Yze Spwo zc Hltgpo mfe Cpbftcpo,C,S,YMP,CF,72,9,13,0,1
UY-I-VFX-FRI8,BKNFI,Spwo,B,Q,YMP,YC,6,1,2,0,0
NX-I-WIH-FRI3,BKNQH,Yze Cpbftcpo,A,R,YMP,RB,2,1,1,0,0
YP-I-RGS-FRI1,BKNFF,Yze Cpbftcpo,B,M,YMP,CT,2,1,1,0,0
FY-I-DFP-QTF,BKNDG,Spwo,C,Y,AXM,JC,19,1,10,0,1
VF-I-LFL-FRI2,BKNRF,Yze Cpbftcpo,B,G,YMP,ZJ,3,1,5,0,1
IG-I-XHW-FRI1,BKNQG,Hltgpo,D,S,YMP,CD,4,2,2,0,0
XS-I-HFP-QTF,BKNDG,Yze Cpbftcpo,B,C,AXM,BW,1,1,2,0,1
XB-I-IJH-FRI5,BKNFH,Hltgpo,B,D,YMP,BF,3,1,3,0,0
YP-I-LJI-QTF,BKNFF,Yze Cpbftcpo,B,G,AXM,CT,5,1,3,1,0
OT-I-TFH-RTI1,BKNQG,Yze Cpbftcpo,B,O,PAY,SX,1,1,1,0,0
YM-I-PJL-QTF,BKNDG,Yze Cpbftcpo,A,K,AXM,CQ,1,1,1,0,0
YB-I-XFI-FRI4,BKNDH,Spwo,C,S,YMP,CF,65,10,5,0,1
UQ-I-XFO-FRI4,BKNFG,Spwo,C,S,YMP,YU,23,4,6,0,0
OT-I-VHH-FRI6,BKNQG,Hltgpo,B,Q,YMP,SX,1,1,2,0,0
HN-I-UFH-FRI10,BKNDF,Yze Cpbftcpo,B,P,YMP,LR,6,4,3,1,0
XS-I-DFI-RTI3,BKNDG,Yze Cpbftcpo,B,Y,PAY,BW,20,3,1,1,1
PX-I-VLJ-FRI2,BKNDF,Spwo,C,Q,YMP,TB,3,1,2,0,0
NV-I-VGY-FRI8,BKNRF,Spwo,B,Q,YMP,RZ,44,10,3,1,0
ST-I-TFS-QTF,BKNFH,Spwo,C,O,AXM,WX,1,1,3,0,0
PX-I-TGT-FRI1,BKNDF,Yze Cpbftcpo,C,O,YMP,TB,1,1,3,0,1
XB-I-SFQ-QTF,BKNFH,Hltgpo,B,N,AXM,BF,1,1,2,0,1
UG-I-VQF-QTF,BKNFH,Spwo,D,Q,AXM,UP,4,2,3,0,0
NX-I-FKS-QTF,BKNQH,Yze Cpbftcpo,C,A,AXM,RB,4,1,7,0,1
JE-I-TFF-FRI1,BKNFH,Yze Cpbftcpo,B,O,YMP,NI,1,1,3,0,0
XW-I-FHN-FRI1,BKNRG,Yze Cpbftcpo,B,A,YMP,BA,5,1,3,0,1
NX-I-SFE-RTI1,BKNQH,Yze Cpbftcpo,B,N,PAY,RB,1,1,1,0,0
OF-I-LVW-FRI1,BKNDH,Yze Cpbftcpo,B,G,YMP,SJ,1,1,4,1,0
YZ-I-WSJ-FRI24,BKNQG,Yze Cpbftcpo,A,R,YMP,CD,8,1,1,0,0
XE-I-VFM-FRI3,BKNFI,Yze Spwo zc Hltgpo mfe Cpbftcpo,C,Q,YMP,BI,3,1,3,0,0
XU-I-PJU-FRI3,BKNFI,Yze Cpbftcpo,A,K,YMP,BY,1,1,1,0,0
HN-I-LGW-RTI3,BKNDF,Yze Cpbftcpo,B,G,PAY,LR,2,1,1,1,0
SE-I-VFL-FRI3,BKNDG,Hltgpo,C,Q,YMP,WI,4,1,4,0,1
NX-I-FJY-QTF,BKNQH,Yze Cpbftcpo,C,A,AXM,RB,2,1,6,0,1
KN-I-XFG-QTF,BKNFH,Hltgpo,C,S,AXM,OR,33,5,15,1,0
KW-I-VFR-FRI4,BKNFI,Yze Spwo zc Hltgpo mfe Cpbftcpo,B,Q,YMP,OA,16,3,7,1,0
OF-I-DFU-FRI1,BKNDH,Yze Spwo zc Hltgpo mfe Cpbftcpo,B,Y,YMP,SJ,2,1,3,1,0
U7-I-XFF-FRI2,BKNQG,Spwo,D,S,YMP,AF,8,2,1,0,0
GW-I-UZS-FRI10,BKNDF,Yze Cpbftcpo,B,P,YMP,KA,6,2,1,1,0
JL-I-XFI-QTF,BKNQF,Yze Spwo zc Hltgpo mfe Cpbftcpo,C,S,AXM,NP,80,10,13,1,1
LD-I-IJS-FRI1,BKNFI,Hltgpo,C,D,YMP,PH,1,1,3,0,0
SJ-I-DFL-FRI1,BKNFI,Spwo,C,Y,YMP,WN,1,1,3,1,0
FW-I-VFE-FRI1,BKNDF,Spwo,C,Q,YMP,JA,13,7,4,1,0
UY-I-VGL-QTF,BKNFI,Spwo,C,Q,AXM,YC,54,7,9,0,1
ST-I-VFE-FRI9,BKNFH,Hltgpo,B,Q,YMP,WX,9,3,2,0,0
GJ-I-TFG-FRI4,BKNFI,Yze Cpbftcpo,B,O,YMP,KN,3,2,2,0,0
NI-I-VFX-FRI2,BKNDG,Hltgpo,B,Q,YMP,RM,3,1,2,1,0
YP-I-SFS-QTF,BKNFF,Hltgpo,B,N,AXM,CT,6,1,1,0,0
NX-I-VJC-RTI3,BKNQH,Yze Cpbftcpo,B,Q,PAY,RB,1,1,1,1,1
ST-I-IFL-QTF,BKNFH,Spwo,C,D,AXM,WX,1,1,2,0,0
B4-I-UFF-FRI4,BKNFF,Yze Cpbftcpo,A,P,YMP,F4,2,1,3,1,0
PX-I-VKL-FRI3,BKNDF,Spwo,B,Q,YMP,TB,9,2,4,0,0
NX-I-FIN-QTF,BKNQH,Yze Cpbftcpo,B,A,AXM,RB,4,1,2,0,0
VF-I-LFK-RTI2,BKNRF,Yze Cpbftcpo,B,G,PAY,ZJ,1,1,2,0,0
FY-I-LHY-FRI1,BKNDG,Yze Cpbftcpo,B,G,YMP,JC,1,1,2,0,0
FY-I-IFQ-RTI1,BKNDG,Yze Cpbftcpo,B,D,PAY,JC,1,1,1,0,0
NI-I-XFK-QTF,BKNDG,Spwo,C,S,AXM,RM,90,12,18,1,0
RI-I-QFF-QTF,BKNFG,Spwo,C,L,AXM,VM,7,2,3,0,1
ST-I-VGZ-FRI1,BKNFH,Spwo,B,Q,YMP,WX,1,1,1,0,0
NX-I-RCB-FRI4,BKNQH,Yze Cpbftcpo,A,M,YMP,RB,5,1,1,0,0
FY-I-TFD-QTF,BKNDG,Yze Cpbftcpo,B,O,AXM,JC,2,1,6,0,0
SJ-I-RFJ-QTF,BKNFI,Yze Cpbftcpo,C,M,AXM,WN,8,2,3,0,0
YB-I-VGF-QTF,BKNDH,Spwo,C,Q,AXM,CF,4,1,6,0,0
XU-I-IFX-QTF,BKNFI,Spwo,C,D,AXM,BY,6,1,4,0,0
OT-I-VHZ-FRI3,BKNQG,Spwo,C,Q,YMP,SX,9,3,2,0,1
UN-I-VFS-FRI2,BKNDG,Hltgpo,B,Q,YMP,YR,5,1,4,0,0
B4-I-TFF-FRI1,BKNFF,Yze Cpbftcpo,C,O,YMP,F4,1,1,4,0,0
S4-I-FFR-QTF,BKNFF,Spwo,C,A,AXM,W4,3,1,5,0,1
HS-I-UXG-RTI1,BKNDH,Yze Cpbftcpo,B,P,PAY,LW,3,2,2,1,0
NX-I-PID-RTI1,BKNQH,Yze Cpbftcpo,A,K,PAY,RB,5,1,1,0,0
ST-I-KFF-FRI1,BKNFH,Spwo,B,F,YMP,WX,9,2,1,0,0
KW-I-IFS-FRI1,BKNFI,Hltgpo,C,D,YMP,OA,32,3,3,0,0
S1-I-LFT-QTF,BKNFF,Yze Cpbftcpo,B,G,AXM,W1,1,1,3,0,0
YP-I-TFP-QTF,BKNFF,Yze Cpbftcpo,B,O,AXM,CT,1,1,1,0,0
PX-I-VJW-FRI3,BKNDF,Spwo,B,Q,YMP,TB,2,1,3,1,0
UQ-I-TFO-QTF,BKNFG,Yze Cpbftcpo,C,O,AXM,YU,1,1,3,0,0
HN-I-VFJ-FRI10,BKNDF,Spwo,B,Q,YMP,LR,12,2,3,0,1
OT-I-VGY-FRI2,BKNQG,Spwo,C,Q,YMP,SX,3,1,2,0,1
SJ-I-IFY-QTF,BKNFI,Spwo,C,D,AXM,WN,1,1,4,0,1
OT-I-LGH-FRI1,BKNQG,Yze Cpbftcpo,B,G,YMP,SX,4,3,4,0,0
